Período;CUIT Empleador;Razón Social;Régimen;Remuneración Imponible;Aporte Declarado;Aporte Ingresado;Estado;Observaciones
01/2022;30-11111111-2;SUPERMERCADO DEL SOL SA;Relación de dependencia;150.000,00;16.500,00;16.500,00;ingresado;
02/2022;30-11111111-2;SUPERMERCADO DEL SOL SA;Relación de dependencia;150.000,00;16.500,00;16.500,00;ingresado;
03/2022;30-11111111-2;SUPERMERCADO DEL SOL SA;Relación de dependencia;150.000,00;16.500,00;16.500,00;ingresado;
04/2022;30-11111111-2;SUPERMERCADO DEL SOL SA;Relación de dependencia;150.000,00;16.500,00;16.500,00;ingresado;
05/2022;30-11111111-2;SUPERMERCADO DEL SOL SA;Relación de dependencia;150.000,00;16.500,00;16.500,00;ingresado;
06/2022;30-11111111-2;SUPERMERCADO DEL SOL SA;Relación de dependencia;150.000,00;16.500,00;16.500,00;ingresado;
07/2022;30-11111111-2;SUPERMERCADO DEL SOL SA;Relación de dependencia;150.000,00;16.500,00;16.500,00;ingresado;
08/2022;30-11111111-2;SUPERMERCADO DEL SOL SA;Relación de dependencia;150.000,00;16.500,00;16.500,00;ingresado;
09/2022;30-11111111-2;SUPERMERCADO DEL SOL SA;Relación de dependencia;150.000,00;16.500,00;16.500,00;ingresado;
10/2022;30-11111111-2;SUPERMERCADO DEL SOL SA;Relación de dependencia;150.000,00;16.500,00;16.500,00;ingresado;
11/2022;30-11111111-2;SUPERMERCADO DEL SOL SA;Relación de dependencia;150.000,00;16.500,00;16.500,00;ingresado;
12/2022;30-11111111-2;SUPERMERCADO DEL SOL SA;Relación de dependencia;150.000,00;16.500,00;16.500,00;ingresado;
01/2023;30-11111111-2;SUPERMERCADO DEL SOL SA;Relación de dependencia;200.000,00;22.000,00;22.000,00;ingresado;
02/2023;30-11111111-2;SUPERMERCADO DEL SOL SA;Relación de dependencia;200.000,00;22.000,00;22.000,00;ingresado;
03/2023;30-11111111-2;SUPERMERCADO DEL SOL SA;Relación de dependencia;200.000,00;22.000,00;22.000,00;ingresado;
04/2023;30-11111111-2;SUPERMERCADO DEL SOL SA;Relación de dependencia;200.000,00;22.000,00;22.000,00;ingresado;
05/2023;30-11111111-2;SUPERMERCADO DEL SOL SA;Relación de dependencia;200.000,00;22.000,00;22.000,00;ingresado;
06/2023;30-11111111-2;SUPERMERCADO DEL SOL SA;Relación de dependencia;200.000,00;22.000,00;22.000,00;ingresado;
07/2023;30-11111111-2;SUPERMERCADO DEL SOL SA;Relación de dependencia;15.000,00;1.650,00;1.650,00;ingresado;jornada reducida
08/2023;30-11111111-2;SUPERMERCADO DEL SOL SA;Relación de dependencia;15.000,00;1.650,00;1.650,00;ingresado;jornada reducida
09/2023;30-11111111-2;SUPERMERCADO DEL SOL SA;Relación de dependencia;15.000,00;1.650,00;1.650,00;ingresado;jornada reducida
10/2023;30-11111111-2;SUPERMERCADO DEL SOL SA;Relación de dependencia;200.000,00;22.000,00;0,00;no ingresado;
11/2023;30-11111111-2;SUPERMERCADO DEL SOL SA;Relación de dependencia;200.000,00;22.000,00;0,00;no ingresado;
12/2023;30-11111111-2;SUPERMERCADO DEL SOL SA;Relación de dependencia;200.000,00;22.000,00;0,00;no ingresado;
04/2024;30-22222222-4;CONSULTORA DEL NORTE SRL;Relación de dependencia;600.000,00;66.000,00;66.000,00;ingresado;
05/2024;30-22222222-4;CONSULTORA DEL NORTE SRL;Relación de dependencia;600.000,00;9.000,00;9.000,00;ingresado;aporte declarado no guarda relación con la remuneración
06/2024;30-22222222-4;CONSULTORA DEL NORTE SRL;Relación de dependencia;600.000,00;66.000,00;66.000,00;ingresado;
07/2024;30-22222222-4;CONSULTORA DEL NORTE SRL;Relación de dependencia;600.000,00;66.000,00;66.000,00;ingresado;
08/2024;30-22222222-4;CONSULTORA DEL NORTE SRL;Relación de dependencia;600.000,00;66.000,00;66.000,00;ingresado;
09/2024;30-22222222-4;CONSULTORA DEL NORTE SRL;Relación de dependencia;600.000,00;66.000,00;66.000,00;ingresado;
10/2024;30-22222222-4;CONSULTORA DEL NORTE SRL;Relación de dependencia;600.000,00;66.000,00;66.000,00;ingresado;
11/2024;30-22222222-4;CONSULTORA DEL NORTE SRL;Relación de dependencia;600.000,00;66.000,00;66.000,00;ingresado;
12/2024;30-22222222-4;CONSULTORA DEL NORTE SRL;Relación de dependencia;600.000,00;66.000,00;66.000,00;ingresado;
09/2024;;Actividad independiente;Monotributo;50.000,00;5.500,00;2.750,00;sin dato;
10/2024;;Actividad independiente;Monotributo;50.000,00;5.500,00;2.750,00;sin dato;
11/2024;;Actividad independiente;Monotributo;50.000,00;5.500,00;2.750,00;sin dato;
12/2024;;Actividad independiente;Monotributo;50.000,00;5.500,00;2.750,00;sin dato;
01/2025;;Actividad independiente;Autónomo;40.000,00;4.400,00;4.400,00;ingresado;
02/2025;;Actividad independiente;Autónomo;40.000,00;4.400,00;4.400,00;ingresado;
03/2025;;Actividad independiente;Autónomo;40.000,00;4.400,00;4.400,00;ingresado;
04/2025;;Actividad independiente;Autónomo;40.000,00;4.400,00;4.400,00;ingresado;
05/2025;;Actividad independiente;Autónomo;40.000,00;4.400,00;4.400,00;ingresado;
06/2025;;Actividad independiente;Autónomo;40.000,00;4.400,00;4.400,00;ingresado;
